Mã hồ sơ,Nhóm lĩnh vực,Kênh nộp hồ sơ,Tháng phát sinh,Số ngày giải quyết,Kết quả đánh giá
DVC-2026-007483,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 7,5,Đúng hạn
DVC-2026-008469,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 7,6,Đúng hạn
DVC-2026-000901,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 3,10,Đúng hạn
DVC-2026-000118,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 6,4,Đúng hạn
DVC-2026-006389,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 2,44,Trễ hẹn
DVC-2026-001804,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 8,10,Đúng hạn
DVC-2026-002095,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 10,35,Trễ hẹn
DVC-2026-008035,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 10,44,Trễ hẹn
DVC-2026-002051,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 1,4,Đúng hạn
DVC-2026-005208,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 5,18,Trễ hẹn
DVC-2026-000841,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 4,7,Đúng hạn
DVC-2026-001839,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 8,6,Đúng hạn
DVC-2026-000780,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 10,12,Đúng hạn
DVC-2026-008791,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 2,7,Đúng hạn
DVC-2026-004305,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 12,44,Trễ hẹn
DVC-2026-006445,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 2,21,Trễ hẹn
DVC-2026-009825,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 1,9,Đúng hạn
DVC-2026-002895,Xây dựng,Trực tiếp tại quầy,Tháng 7,7,Đúng hạn
DVC-2026-003089,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 5,5,Đúng hạn
DVC-2026-004899,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 6,29,Trễ hẹn
DVC-2026-001766,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 2,7,Đúng hạn
DVC-2026-009412,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 12,22,Trễ hẹn
DVC-2026-005126,Xây dựng,Trực tuyến (DVC),Tháng 6,3,Đúng hạn
DVC-2026-005962,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 5,6,Đúng hạn
DVC-2026-005042,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 3,33,Trễ hẹn
DVC-2026-005068,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 3,33,Trễ hẹn
DVC-2026-006009,Xây dựng,Trực tiếp tại quầy,Tháng 9,36,Trễ hẹn
DVC-2026-001292,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 11,12,Đúng hạn
DVC-2026-000058,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 2,15,Trễ hẹn
DVC-2026-000359,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 11,1,Đúng hạn
DVC-2026-002182,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 3,44,Trễ hẹn
DVC-2026-005048,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 2,4,Đúng hạn
DVC-2026-007143,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 7,6,Đúng hạn
DVC-2026-002202,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 3,42,Trễ hẹn
DVC-2026-004837,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 12,11,Đúng hạn
DVC-2026-002001,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 11,17,Trễ hẹn
DVC-2026-002935,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 7,7,Đúng hạn
DVC-2026-004665,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 7,1,Đúng hạn
DVC-2026-004509,Xây dựng,Trực tuyến (DVC),Tháng 2,27,Trễ hẹn
DVC-2026-003284,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 5,12,Đúng hạn
DVC-2026-009764,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 12,11,Đúng hạn
DVC-2026-005749,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 9,5,Đúng hạn
DVC-2026-009790,Xây dựng,Trực tuyến (DVC),Tháng 4,42,Trễ hẹn
DVC-2026-004804,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 11,12,Đúng hạn
DVC-2026-001156,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 3,8,Đúng hạn
DVC-2026-007311,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 11,43,Trễ hẹn
DVC-2026-005723,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 9,25,Trễ hẹn
DVC-2026-008925,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 10,37,Trễ hẹn
DVC-2026-003330,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 7,25,Trễ hẹn
DVC-2026-005663,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 2,3,Đúng hạn
DVC-2026-003609,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 5,5,Đúng hạn
DVC-2026-006082,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 1,4,Đúng hạn
DVC-2026-000521,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 11,32,Trễ hẹn
DVC-2026-005944,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 4,1,Đúng hạn
DVC-2026-008562,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 4,9,Đúng hạn
DVC-2026-006209,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 4,5,Đúng hạn
DVC-2026-007232,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 2,5,Đúng hạn
DVC-2026-007211,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 8,1,Đúng hạn
DVC-2026-002204,Xây dựng,Trực tiếp tại quầy,Tháng 4,11,Đúng hạn
DVC-2026-001674,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 9,7,Đúng hạn
DVC-2026-007308,Xây dựng,Trực tiếp tại quầy,Tháng 6,43,Trễ hẹn
DVC-2026-002222,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 10,2,Đúng hạn
DVC-2026-001755,Xây dựng,Trực tuyến (DVC),Tháng 9,3,Đúng hạn
DVC-2026-000428,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 2,31,Trễ hẹn
DVC-2026-004938,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 3,12,Đúng hạn
DVC-2026-009646,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 12,7,Đúng hạn
DVC-2026-003319,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 7,20,Trễ hẹn
DVC-2026-005823,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 1,2,Đúng hạn
DVC-2026-005351,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 8,9,Đúng hạn
DVC-2026-000111,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 8,13,Đúng hạn
DVC-2026-008817,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 2,21,Trễ hẹn
DVC-2026-002788,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 11,37,Trễ hẹn
DVC-2026-004866,Xây dựng,Trực tiếp tại quầy,Tháng 4,39,Trễ hẹn
DVC-2026-006413,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 8,12,Đúng hạn
DVC-2026-000380,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 2,4,Đúng hạn
DVC-2026-004882,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 3,13,Đúng hạn
DVC-2026-000935,Xây dựng,Trực tuyến (DVC),Tháng 3,25,Trễ hẹn
DVC-2026-001883,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 11,12,Đúng hạn
DVC-2026-007607,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 7,5,Đúng hạn
DVC-2026-001940,Xây dựng,Trực tuyến (DVC),Tháng 12,41,Trễ hẹn
DVC-2026-007354,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 9,6,Đúng hạn
DVC-2026-000408,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 9,11,Đúng hạn
DVC-2026-003741,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 8,39,Trễ hẹn
DVC-2026-006973,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 12,1,Đúng hạn
DVC-2026-004663,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 2,5,Đúng hạn
DVC-2026-003177,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 8,12,Đúng hạn
DVC-2026-005234,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 6,10,Đúng hạn
DVC-2026-000144,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 7,12,Đúng hạn
DVC-2026-002882,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 4,4,Đúng hạn
DVC-2026-007377,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 6,9,Đúng hạn
DVC-2026-005003,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 9,1,Đúng hạn
DVC-2026-000384,Xây dựng,Trực tuyến (DVC),Tháng 7,40,Trễ hẹn
DVC-2026-009020,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 5,13,Đúng hạn
DVC-2026-002643,Xây dựng,Trực tuyến (DVC),Tháng 9,4,Đúng hạn
DVC-2026-003840,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 5,4,Đúng hạn
DVC-2026-006287,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 5,17,Trễ hẹn
DVC-2026-001257,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 11,3,Đúng hạn
DVC-2026-008354,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 8,5,Đúng hạn
DVC-2026-009366,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 1,3,Đúng hạn
DVC-2026-009239,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 7,9,Đúng hạn
DVC-2026-008463,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 8,18,Trễ hẹn
DVC-2026-009034,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 8,1,Đúng hạn
DVC-2026-006212,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 11,5,Đúng hạn
DVC-2026-007295,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 9,21,Trễ hẹn
DVC-2026-009702,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 8,12,Đúng hạn
DVC-2026-003579,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 2,28,Trễ hẹn
DVC-2026-005792,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 9,1,Đúng hạn
DVC-2026-006976,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 2,8,Đúng hạn
DVC-2026-005906,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 10,1,Đúng hạn
DVC-2026-004960,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 2,29,Trễ hẹn
DVC-2026-006657,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 6,1,Đúng hạn
DVC-2026-007861,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 3,38,Trễ hẹn
DVC-2026-002869,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 1,12,Đúng hạn
DVC-2026-009601,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 6,13,Đúng hạn
DVC-2026-000446,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 5,8,Đúng hạn
DVC-2026-003587,Xây dựng,Trực tuyến (DVC),Tháng 10,26,Trễ hẹn
DVC-2026-007178,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 4,8,Đúng hạn
DVC-2026-007114,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 4,7,Đúng hạn
DVC-2026-008243,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 1,10,Đúng hạn
DVC-2026-004869,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 5,10,Đúng hạn
DVC-2026-001157,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 12,15,Trễ hẹn
DVC-2026-007256,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 12,19,Trễ hẹn
DVC-2026-002831,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 7,28,Trễ hẹn
DVC-2026-000029,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 6,1,Đúng hạn
DVC-2026-009069,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 5,10,Đúng hạn
DVC-2026-008055,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 10,4,Đúng hạn
DVC-2026-002875,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 7,3,Đúng hạn
DVC-2026-001913,Xây dựng,Trực tuyến (DVC),Tháng 4,9,Đúng hạn
DVC-2026-002826,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 8,6,Đúng hạn
DVC-2026-004485,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 4,7,Đúng hạn
DVC-2026-002412,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 2,44,Trễ hẹn
DVC-2026-009338,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 11,36,Trễ hẹn
DVC-2026-003249,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 6,27,Trễ hẹn
DVC-2026-007912,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 12,4,Đúng hạn
DVC-2026-006236,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 12,7,Đúng hạn
DVC-2026-004562,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 2,3,Đúng hạn
DVC-2026-009513,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 4,1,Đúng hạn
DVC-2026-004177,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 6,12,Đúng hạn
DVC-2026-009956,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 10,36,Trễ hẹn
DVC-2026-005652,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 2,39,Trễ hẹn
DVC-2026-002334,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 1,9,Đúng hạn
DVC-2026-009030,Xây dựng,Trực tuyến (DVC),Tháng 7,6,Đúng hạn
DVC-2026-003216,Xây dựng,Trực tuyến (DVC),Tháng 10,7,Đúng hạn
DVC-2026-006563,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 9,31,Trễ hẹn
DVC-2026-005997,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 11,12,Đúng hạn
DVC-2026-007560,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 4,1,Đúng hạn
DVC-2026-000602,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 3,12,Đúng hạn
DVC-2026-001829,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 6,37,Trễ hẹn
DVC-2026-005478,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 11,13,Đúng hạn
DVC-2026-008784,Xây dựng,Trực tiếp tại quầy,Tháng 3,3,Đúng hạn
DVC-2026-009808,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 10,33,Trễ hẹn
DVC-2026-004829,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 2,10,Đúng hạn
DVC-2026-007806,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 5,36,Trễ hẹn
DVC-2026-003305,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 4,38,Trễ hẹn
DVC-2026-007927,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 5,8,Đúng hạn
DVC-2026-002258,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 3,7,Đúng hạn
DVC-2026-006430,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 5,11,Đúng hạn
DVC-2026-008698,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 8,13,Đúng hạn
DVC-2026-008867,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 4,39,Trễ hẹn
DVC-2026-006940,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 9,4,Đúng hạn
DVC-2026-004831,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 8,13,Đúng hạn
DVC-2026-004730,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 12,34,Trễ hẹn
DVC-2026-007526,Xây dựng,Trực tuyến (DVC),Tháng 10,13,Đúng hạn
DVC-2026-000265,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 2,7,Đúng hạn
DVC-2026-007637,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 2,37,Trễ hẹn
DVC-2026-000277,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 8,4,Đúng hạn
DVC-2026-007072,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 9,41,Trễ hẹn
DVC-2026-001831,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 9,3,Đúng hạn
DVC-2026-004077,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 8,10,Đúng hạn
DVC-2026-006622,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 3,5,Đúng hạn
DVC-2026-004729,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 9,20,Trễ hẹn
DVC-2026-003004,Xây dựng,Trực tuyến (DVC),Tháng 4,17,Trễ hẹn
DVC-2026-004146,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 1,8,Đúng hạn
DVC-2026-003820,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 11,9,Đúng hạn
DVC-2026-002045,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 8,9,Đúng hạn
DVC-2026-004884,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 2,13,Đúng hạn
DVC-2026-004222,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 1,6,Đúng hạn
DVC-2026-006407,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 2,19,Trễ hẹn
DVC-2026-002134,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 3,39,Trễ hẹn
DVC-2026-004717,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 3,5,Đúng hạn
DVC-2026-007010,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 8,9,Đúng hạn
DVC-2026-009630,Xây dựng,Trực tuyến (DVC),Tháng 6,10,Đúng hạn
DVC-2026-001920,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 9,9,Đúng hạn
DVC-2026-007959,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 7,11,Đúng hạn
DVC-2026-002234,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 4,3,Đúng hạn
DVC-2026-006540,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 3,38,Trễ hẹn
DVC-2026-000447,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 3,31,Trễ hẹn
DVC-2026-004856,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 10,33,Trễ hẹn
DVC-2026-001391,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 8,12,Đúng hạn
DVC-2026-008232,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 8,5,Đúng hạn
DVC-2026-002024,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 7,3,Đúng hạn
DVC-2026-000527,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 10,25,Trễ hẹn
DVC-2026-007026,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 6,27,Trễ hẹn
DVC-2026-004657,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 8,30,Trễ hẹn
DVC-2026-009265,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 4,43,Trễ hẹn
DVC-2026-000079,Xây dựng,Trực tiếp tại quầy,Tháng 7,7,Đúng hạn
DVC-2026-000563,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 11,26,Trễ hẹn
DVC-2026-006621,Xây dựng,Trực tuyến (DVC),Tháng 10,22,Trễ hẹn
DVC-2026-006439,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 7,28,Trễ hẹn
DVC-2026-005546,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 3,10,Đúng hạn
DVC-2026-001710,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 10,41,Trễ hẹn
DVC-2026-002968,Xây dựng,Trực tiếp tại quầy,Tháng 5,32,Trễ hẹn
DVC-2026-003637,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 1,11,Đúng hạn
DVC-2026-000567,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 5,9,Đúng hạn
DVC-2026-008128,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 9,10,Đúng hạn
DVC-2026-003736,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 9,5,Đúng hạn
DVC-2026-001462,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 10,5,Đúng hạn
DVC-2026-008584,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 5,6,Đúng hạn
DVC-2026-003818,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 10,1,Đúng hạn
DVC-2026-008801,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 12,29,Trễ hẹn
DVC-2026-002687,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 5,4,Đúng hạn
DVC-2026-001730,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 4,6,Đúng hạn
DVC-2026-006932,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 5,3,Đúng hạn
DVC-2026-008250,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 1,11,Đúng hạn
DVC-2026-006028,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 9,8,Đúng hạn
DVC-2026-007857,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 10,1,Đúng hạn
DVC-2026-000530,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 6,11,Đúng hạn
DVC-2026-003210,Xây dựng,Trực tiếp tại quầy,Tháng 1,3,Đúng hạn
DVC-2026-005437,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 2,28,Trễ hẹn
DVC-2026-002157,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 11,2,Đúng hạn
DVC-2026-003174,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 12,29,Trễ hẹn
DVC-2026-007316,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 8,8,Đúng hạn
DVC-2026-009962,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 10,41,Trễ hẹn
DVC-2026-003780,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 11,13,Đúng hạn
DVC-2026-006963,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 9,13,Đúng hạn
DVC-2026-001558,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 5,19,Trễ hẹn
DVC-2026-004122,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 8,8,Đúng hạn
DVC-2026-008487,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 10,3,Đúng hạn
DVC-2026-000028,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 6,3,Đúng hạn
DVC-2026-008862,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 2,1,Đúng hạn
DVC-2026-002554,Xây dựng,Trực tuyến (DVC),Tháng 6,13,Đúng hạn
DVC-2026-008744,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 4,5,Đúng hạn
DVC-2026-005505,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 3,26,Trễ hẹn
DVC-2026-009346,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 11,10,Đúng hạn
DVC-2026-007639,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 3,9,Đúng hạn
DVC-2026-006769,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 6,12,Đúng hạn
DVC-2026-001672,Xây dựng,Trực tuyến (DVC),Tháng 3,10,Đúng hạn
DVC-2026-002332,Xây dựng,Trực tiếp tại quầy,Tháng 11,17,Trễ hẹn
DVC-2026-009677,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 10,11,Đúng hạn
DVC-2026-002668,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 7,8,Đúng hạn
DVC-2026-003826,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 5,13,Đúng hạn
DVC-2026-002307,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 1,12,Đúng hạn
DVC-2026-003671,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 4,36,Trễ hẹn
DVC-2026-002847,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 7,23,Trễ hẹn
DVC-2026-002552,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 2,6,Đúng hạn
DVC-2026-008000,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 4,7,Đúng hạn
DVC-2026-000693,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 2,8,Đúng hạn
DVC-2026-004251,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 9,34,Trễ hẹn
DVC-2026-004393,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 8,6,Đúng hạn
DVC-2026-000383,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 3,6,Đúng hạn
DVC-2026-000021,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 3,19,Trễ hẹn
DVC-2026-003541,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 5,9,Đúng hạn
DVC-2026-003536,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 5,39,Trễ hẹn
DVC-2026-001357,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 2,9,Đúng hạn
DVC-2026-002018,Xây dựng,Trực tuyến (DVC),Tháng 9,10,Đúng hạn
DVC-2026-005756,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 1,31,Trễ hẹn
DVC-2026-003551,Xây dựng,Trực tuyến (DVC),Tháng 5,22,Trễ hẹn
DVC-2026-000352,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 11,12,Đúng hạn
DVC-2026-001806,Xây dựng,Trực tuyến (DVC),Tháng 7,11,Đúng hạn
